# cu        rbx       run       pd_ch     uhtr_ch   shunt     max_adc   max_pc    result    
2         0         1         0         0         31        124       52729.80  1         
2         0         1         1         1         31        106       28809.80  1         
3         0         1         0         0         31        202       629878.00 1         
3         0         1         1         1         31        190       466164.00 1         
5         0         1         0         0         31        121       45885.00  1         
5         0         1         1         1         31        105       27669.00  1         
6         0         1         0         0         31        126       57293.00  1         
6         0         1         1         1         31        111       34513.80  1         
6         0         4         2         2         31        201       611625.20 1         
6         0         5         3         3         31        204       666383.60 1         
6         0         6         4         4         31        203       648130.80 1         
6         0         7         5         5         31        204       666383.60 1         
7         0         1         0         0         31        94        18508.10  0         
7         0         1         1         1         31        75        9082.70   0         
8         0         1         0         0         31        143       89194.00  1         
8         0         1         1         1         31        123       50448.20  1         
9         0         1         0         0         31        94        18508.10  0         
9         0         1         1         1         31        81        11092.90  0         
9         0         4         2         2         31        202       629878.00 1         
9         0         5         3         3         31        204       666383.60 1         
9         0         6         4         4         31        204       666383.60 1         
9         0         7         5         5         31        205       684636.40 1         
10        0         1         0         0         31        175       283240.40 1         
10        0         1         1         1         31        164       182850.00 1         
10        0         4         2         2         31        203       648130.80 1         
10        0         5         3         3         31        204       666383.60 1         
10        0         6         4         4         31        204       666383.60 1         
10        0         7         5         5         31        204       666383.60 1         
11        0         1         0         0         31        146       100666.40 1         
11        0         1         1         1         31        131       61814.80  1         
11        0         4         2         2         31        203       648130.80 1         
11        0         5         3         3         31        203       648130.80 1         
11        0         6         4         4         31        202       629878.00 1         
11        0         7         5         5         31        204       666383.60 1         
12        0         1         0         0         31        165       191976.40 1         
12        0         1         1         1         31        146       100666.40 1         
12        0         4         2         2         31        201       611625.20 1         
12        0         5         3         3         31        204       666383.60 1         
12        0         6         4         4         31        204       666383.60 1         
12        0         7         5         5         31        203       648130.80 1         
13        0         1         0         0         31        171       246734.80 1         
13        0         1         1         1         31        155       141735.20 1         
13        0         4         2         2         31        203       648130.80 1         
13        0         5         3         3         31        205       684636.40 1         
13        0         6         4         4         31        205       684636.40 1         
13        0         7         5         5         31        204       666383.60 1         
14        0         1         0         0         31        175       283240.40 1         
14        0         1         1         1         31        166       201102.80 1         
14        0         4         2         2         31        204       666383.60 1         
14        0         5         3         3         31        203       648130.80 1         
14        0         6         4         4         31        203       648130.80 1         
14        0         7         5         5         31        203       648130.80 1         
15        0         1         0         0         31        124       52729.80  1         
15        0         1         1         1         31        106       28809.80  1         
15        0         4         2         2         31        200       593372.40 1         
15        0         5         3         3         31        203       648130.80 1         
15        0         6         4         4         31        204       666383.60 1         
15        0         7         5         5         31        202       629878.00 1         
16        0         1         0         0         31        166       201102.80 1         
16        0         1         1         1         31        149       114356.00 1         
17        0         1         0         0         31        194       483855.60 1         
17        0         1         1         1         31        176       292366.80 1         
18        0         1         0         0         31        178       310619.60 1         
18        0         1         1         1         31        165       191976.40 1         
18        0         4         2         2         31        202       629878.00 1         
18        0         5         3         3         31        204       666383.60 1         
18        0         6         4         4         31        202       629878.00 1         
18        0         7         5         5         31        201       611625.20 1         
19        0         1         0         0         31        184       365378.00 1         
19        0         1         1         1         31        169       228482.00 1         
20        0         1         0         0         31        133       66378.00  1         
20        0         1         1         1         31        116       40217.80  1         
20        0         4         2         2         31        203       648130.80 1         
20        0         5         3         3         31        205       684636.40 1         
20        0         6         4         4         31        204       666383.60 1         
20        0         7         5         5         31        204       666383.60 1         
22        0         1         0         0         31        162       173677.60 1         
22        0         1         1         1         31        149       114356.00 1         
23        0         1         0         0         31        166       201102.80 1         
23        0         1         1         1         31        152       128045.60 1         
23        0         4         2         2         31        202       629878.00 1         
23        0         5         3         3         31        203       648130.80 1         
23        0         6         4         4         31        203       648130.80 1         
23        0         7         5         5         31        203       648130.80 1         
24        0         1         0         0         31        170       237608.40 1         
24        0         1         1         1         31        155       141735.20 1         
24        0         4         2         2         31        199       575119.60 1         
24        0         5         3         3         31        203       648130.80 1         
24        0         6         4         4         31        203       648130.80 1         
24        0         7         5         5         31        201       611625.20 1         
25        0         1         0         0         31        169       228482.00 1         
25        0         1         1         1         31        152       128045.60 1         
25        0         4         2         2         31        200       593372.40 1         
25        0         5         3         3         31        202       629878.00 1         
25        0         6         4         4         31        204       666383.60 1         
25        0         7         5         5         31        204       666383.60 1         
26        0         1         0         0         31        125       55011.40  1         
26        0         1         1         1         31        108       31091.40  1         
26        0         4         2         2         31        203       648130.80 1         
26        0         5         3         3         31        203       648130.80 1         
26        0         6         4         4         31        203       648130.80 1         
26        0         7         5         5         31        202       629878.00 1         
27        0         1         0         0         31        162       173677.60 1         
27        0         1         1         1         31        149       114356.00 1         
29        0         1         0         0         31        108       31091.40  1         
29        0         1         1         1         31        93        17937.70  0         
29        0         4         2         2         31        202       629878.00 1         
29        0         5         3         3         31        203       648130.80 1         
29        0         6         4         4         31        203       648130.80 1         
29        0         7         5         5         31        202       629878.00 1         
30        0         1         0         0         31        155       141735.20 1         
30        0         1         1         1         31        138       77786.00  1         
30        0         4         2         2         31        198       556866.80 1         
30        0         5         3         3         31        203       648130.80 1         
30        0         6         4         4         31        201       611625.20 1         
30        0         7         5         5         31        203       648130.80 1         
31        0         1         0         0         31        188       429658.40 1         
31        0         1         1         1         31        171       246734.80 1         
32        0         1         0         0         31        106       28809.80  1         
32        0         1         1         1         31        88        15085.70  0         
32        0         4         2         2         31        200       593372.40 1         
32        0         5         3         3         31        205       684636.40 1         
32        0         6         4         4         31        204       666383.60 1         
32        0         7         5         5         31        203       648130.80 1         
33        0         1         0         0         31        102       24246.60  1         
33        0         1         1         1         31        87        14515.30  0         
33        0         4         2         2         31        202       629878.00 1         
33        0         5         3         3         31        204       666383.60 1         
33        0         6         4         4         31        203       648130.80 1         
33        0         7         5         5         31        203       648130.80 1         
34        0         1         0         0         31        157       150861.60 1         
34        0         1         1         1         31        146       100666.40 1         
34        0         4         2         2         31        201       611625.20 1         
34        0         5         3         3         31        205       684636.40 1         
34        0         6         4         4         31        204       666383.60 1         
34        0         7         5         5         31        205       684636.40 1         
35        0         1         0         0         31        177       301493.20 1         
35        0         1         1         1         31        163       178240.80 1         
36        0         1         0         0         31        158       155424.80 1         
36        0         1         1         1         31        142       86912.40  1         
36        0         4         2         2         31        203       648130.80 1         
36        0         5         3         3         31        203       648130.80 1         
36        0         6         4         4         31        205       684636.40 1         
36        0         7         5         5         31        204       666383.60 1         
37        0         1         0         0         31        122       48166.60  1         
37        0         1         1         1         31        105       27669.00  1         
37        0         4         2         2         31        203       648130.80 1         
37        0         5         3         3         31        204       666383.60 1         
37        0         6         4         4         31        203       648130.80 1         
37        0         7         5         5         31        204       666383.60 1         
38        0         1         0         0         31        168       219355.60 1         
38        0         1         1         1         31        153       132608.80 1         
38        0         4         2         2         31        202       629878.00 1         
38        0         5         3         3         31        203       648130.80 1         
38        0         6         4         4         31        205       684636.40 1         
38        0         7         5         5         31        204       666383.60 1         
39        0         1         0         0         31        162       173677.60 1         
39        0         1         1         1         31        149       114356.00 1         
39        0         4         2         2         31        204       666383.60 1         
39        0         5         3         3         31        205       684636.40 1         
39        0         6         4         4         31        203       648130.80 1         
39        0         7         5         5         31        204       666383.60 1         
40        0         1         0         0         31        122       48166.60  1         
40        0         1         1         1         31        106       28809.80  1         
41        0         1         0         0         31        110       33373.00  1         
41        0         1         1         1         31        95        19078.50  0         
41        0         4         2         2         31        200       593372.40 1         
41        0         5         3         3         31        204       666383.60 1         
41        0         6         4         4         31        204       666383.60 1         
41        0         7         5         5         31        201       611625.20 1         
42        0         1         0         0         31        155       141735.20 1         
42        0         1         1         1         31        145       96103.20  1         
42        0         4         2         2         31        201       611625.20 1         
42        0         5         3         3         31        203       648130.80 1         
42        0         6         4         4         31        204       666383.60 1         
42        0         7         5         5         31        202       629878.00 1         
43        0         1         0         0         31        166       201102.80 1         
43        0         1         1         1         31        151       123482.40 1         
43        0         4         2         2         31        202       629878.00 1         
43        0         5         3         3         31        203       648130.80 1         
43        0         6         4         4         31        201       611625.20 1         
43        0         7         5         5         31        203       648130.80 1         
44        0         1         0         0         31        117       41358.60  1         
44        0         1         1         1         31        102       24246.60  1         
44        0         4         2         2         31        202       629878.00 1         
44        0         5         3         3         31        203       648130.80 1         
44        0         6         4         4         31        204       666383.60 1         
44        0         7         5         5         31        203       648130.80 1         
