# CU        RBX       Run       pd_ch     uhtr_ch   shunt     max_adc   max_fc    result    
15        0         1         0         0         31        170       21058.40  1         
15        0         1         1         1         31        154       12126.40  1         
24        0         1         0         0         31        201       53978.40  1         
24        0         1         1         1         31        198       49216.80  1         
24        0         2         0         0         31        201       53978.40  1         
24        0         2         1         1         31        198       49216.80  1         
24        0         3         0         0         31        201       53978.40  1         
24        0         3         1         1         31        198       49216.80  1         
24        0         4         2         2         31        207       63501.60  1         
24        0         5         3         3         31        208       65887.20  1         
24        0         6         4         4         31        208       65887.20  1         
24        0         7         5         5         31        209       69061.60  1         
25        0         1         0         0         31        199       50804.00  1         
25        0         1         1         1         31        198       49216.80  1         
25        0         2         0         0         31        199       50804.00  1         
25        0         2         1         1         31        198       49216.80  1         
25        0         3         0         0         31        200       52391.20  1         
25        0         3         1         1         31        198       49216.80  1         
25        0         4         2         2         31        209       69061.60  1         
25        0         5         3         3         31        210       72236.00  1         
25        0         6         4         4         31        211       75410.40  1         
25        0         7         5         5         31        210       72236.00  1         
27        0         4         2         2         31        169       20264.80  1         
27        0         5         3         3         31        218       97631.20  1         
27        0         6         4         4         31        66        579.00    0         
27        0         7         5         5         31        215       88108.00  1         
29        0         1         0         0         31        165       17090.40  1         
29        0         1         1         1         31        148       9745.60   1         
29        0         2         0         0         31        166       17884.00  1         
29        0         2         1         1         31        149       10142.40  1         
29        0         3         0         0         31        163       15697.60  1         
29        0         3         1         1         31        147       9348.80   1         
29        0         4         2         2         31        210       72236.00  1         
29        0         5         3         3         31        210       72236.00  1         
29        0         6         4         4         31        210       72236.00  1         
29        0         7         5         5         31        210       72236.00  1         
30        0         1         0         0         31        200       52391.20  1         
30        0         1         1         1         31        194       42868.00  1         
30        0         2         0         0         31        200       52391.20  1         
30        0         2         1         1         31        191       42916.80  1         
30        0         3         0         0         31        199       50804.00  1         
30        0         3         1         1         31        189       39742.40  1         
30        0         4         2         2         31        211       75410.40  1         
30        0         5         3         3         31        212       78584.80  1         
30        0         6         4         4         31        212       78584.80  1         
30        0         7         5         5         31        213       81759.20  1         
32        0         4         2         2         31        209       69061.60  1         
32        0         5         3         3         31        213       81759.20  1         
32        0         6         4         4         31        212       78584.80  1         
32        0         7         5         5         31        211       75410.40  1         
36        0         4         2         2         31        213       81759.20  1         
36        0         5         3         3         31        213       81759.20  1         
36        0         6         4         4         31        214       84933.60  1         
36        0         7         5         5         31        212       78584.80  1         
37        0         4         2         2         31        211       75410.40  1         
37        0         5         3         3         31        210       72236.00  1         
37        0         6         4         4         31        211       75410.40  1         
37        0         7         5         5         31        211       75410.40  1         
42        0         4         2         2         31        216       91282.40  1         
42        0         5         3         3         31        215       88108.00  1         
42        0         6         4         4         31        214       84933.60  1         
42        0         7         5         5         31        215       88108.00  1         
43        0         4         2         2         31        215       88108.00  1         
43        0         5         3         3         31        214       84933.60  1         
43        0         6         4         4         31        213       81759.20  1         
43        0         7         5         5         31        212       78584.80  1         
44        0         4         2         2         31        212       78584.80  1         
44        0         5         3         3         31        213       81759.20  1         
44        0         6         4         4         31        214       84933.60  1         
44        0         7         5         5         31        213       81759.20  1         
