# CU        RBX       Run       RM        sipm_ch   uhtr_ch   shunt     max_adc   max_fc    result    
6         0         1         1         0         12        31        216       91282.40  1         
6         0         1         1         1         13        31        226       123026.40 1         
6         0         1         1         2         14        31        227       126200.80 1         
6         0         1         1         3         15        31        226       123026.40 1         
6         0         1         1         4         16        31        228       131174.40 1         
6         0         1         1         5         17        31        231       150220.80 1         
6         0         1         1         6         18        31        225       119852.00 1         
6         0         1         1         7         19        31        226       123026.40 1         
6         0         1         1         8         20        31        223       113503.20 1         
6         0         1         1         9         21        31        222       110328.80 1         
6         0         1         1         10        22        31        229       137523.20 1         
6         0         1         1         11        23        31        234       169267.20 1         
6         0         1         1         12        24        31        234       169267.20 1         
6         0         1         1         13        25        31        233       162918.40 1         
6         0         1         1         14        26        31        225       119852.00 1         
6         0         1         1         15        27        31        226       123026.40 1         
6         0         1         1         16        28        31        227       126200.80 1         
6         0         1         1         17        29        31        234       169267.20 1         
6         0         1         1         18        30        31        229       137523.20 1         
6         0         1         1         19        31        31        216       91282.40  1         
6         0         1         1         20        32        31        228       131174.40 1         
6         0         1         1         21        33        31        224       116677.60 1         
6         0         1         1         22        34        31        229       137523.20 1         
6         0         1         1         23        35        31        224       116677.60 1         
6         0         1         1         24        36        31        229       137523.20 1         
6         0         1         1         25        37        31        231       150220.80 1         
6         0         1         1         26        38        31        225       119852.00 1         
6         0         1         1         27        39        31        230       143872.00 1         
6         0         1         1         28        40        31        231       150220.80 1         
6         0         1         1         29        41        31        226       123026.40 1         
6         0         1         1         30        42        31        229       137523.20 1         
6         0         1         1         31        43        31        231       150220.80 1         
6         0         1         1         32        44        31        219       100805.60 1         
6         0         1         1         33        45        31        227       126200.80 1         
6         0         1         1         34        46        31        236       181964.80 1         
6         0         1         1         35        47        31        216       91282.40  1         
6         0         1         1         36        48        31        230       143872.00 1         
6         0         1         1         37        49        31        230       143872.00 1         
6         0         1         1         38        50        31        232       156569.60 1         
6         0         1         1         39        51        31        229       137523.20 1         
6         0         1         1         40        52        31        216       91282.40  1         
