# cu        rbx       run       pd_ch     uhtr_ch   shunt     max_adc   max_pc    result    
6         0         2         0         0         31        124       53.87     1         
6         0         2         1         1         31        109       32.80     1         
6         0         3         0         0         31        126       58.43     1         
6         0         3         1         1         31        111       35.08     1         
6         0         4         0         0         31        127       60.72     1         
6         0         4         1         1         31        113       37.37     1         
6         0         5         0         0         31        126       58.43     1         
6         0         5         1         1         31        111       35.08     1         
6         0         6         0         0         31        126       58.43     1         
6         0         6         1         1         31        111       35.08     1         
