# cu        rbx       run       rm        sipm_ch   uhtr_ch   shunt     max_adc   max_pc    result    
6         0         2         1         0         12        31        199       584.25    1         
6         0         2         1         1         13        31        210       830.71    1         
6         0         2         1         2         14        31        211       867.22    1         
6         0         2         1         3         15        31        210       830.71    1         
6         0         2         1         4         16        31        212       903.73    1         
6         0         2         1         5         17        31        216       1049.75   1         
6         0         2         1         6         18        31        207       730.27    1         
6         0         2         1         7         19        31        206       712.02    1         
6         0         2         1         8         20        31        209       794.21    1         
6         0         2         1         9         21        31        205       693.76    1         
6         0         2         1         10        22        31        211       867.22    1         
6         0         2         1         11        23        31        220       1195.77   1         
6         0         2         1         12        24        31        221       1232.28   1         
6         0         2         1         13        25        31        219       1159.26   1         
6         0         2         1         14        26        31        210       830.71    1         
6         0         2         1         15        27        31        209       794.21    1         
6         0         2         1         16        28        31        210       830.71    1         
6         0         2         1         17        29        31        219       1159.26   1         
6         0         2         1         18        30        31        212       903.73    1         
6         0         2         1         19        31        31        200       602.50    1         
6         0         2         1         20        32        31        211       867.22    1         
6         0         2         1         21        33        31        209       794.21    1         
6         0         2         1         22        34        31        213       940.23    1         
6         0         2         1         23        35        31        209       794.21    1         
6         0         2         1         24        36        31        212       903.73    1         
6         0         2         1         25        37        31        215       1013.24   1         
6         0         2         1         26        38        31        210       830.71    1         
6         0         2         1         27        39        31        215       1013.24   1         
6         0         2         1         28        40        31        214       976.74    1         
6         0         2         1         29        41        31        210       830.71    1         
6         0         2         1         30        42        31        212       903.73    1         
6         0         2         1         31        43        31        214       976.74    1         
6         0         2         1         32        44        31        200       602.50    1         
6         0         2         1         33        45        31        209       794.21    1         
6         0         2         1         34        46        31        221       1232.28   1         
6         0         2         1         35        47        31        200       602.50    1         
6         0         2         1         36        48        31        214       976.74    1         
6         0         2         1         37        49        31        214       976.74    1         
6         0         2         1         38        50        31        216       1049.75   1         
6         0         2         1         39        51        31        213       940.23    1         
6         0         2         1         40        52        31        199       584.25    1         
6         0         2         1         41        53        31        215       1013.24   1         
6         0         2         1         42        54        31        210       830.71    1         
6         0         2         1         43        55        31        217       1086.25   1         
6         0         2         1         44        56        31        213       940.23    1         
6         0         2         1         45        57        31        211       867.22    1         
6         0         2         1         46        58        31        216       1049.75   1         
6         0         2         1         47        59        31        218       1122.76   1         
6         0         2         2         0         84        31        213       940.23    1         
6         0         2         2         1         85        31        210       830.71    1         
6         0         2         2         2         86        31        211       867.22    1         
6         0         2         2         3         87        31        209       794.21    1         
6         0         2         2         4         88        31        214       976.74    1         
6         0         2         2         5         89        31        209       794.21    1         
6         0         2         2         6         90        31        215       1013.24   1         
6         0         2         2         7         91        31        211       867.22    1         
6         0         2         2         8         92        31        217       1086.25   1         
6         0         2         2         9         93        31        212       903.73    1         
6         0         2         2         10        94        31        199       584.25    1         
6         0         2         2         11        95        31        212       903.73    1         
6         0         2         2         12        96        31        211       867.22    1         
6         0         2         2         13        97        31        211       867.22    1         
6         0         2         2         14        98        31        218       1122.76   1         
6         0         2         2         15        99        31        207       730.27    1         
6         0         2         2         16        100       31        217       1086.25   1         
6         0         2         2         17        101       31        196       529.49    1         
6         0         2         2         18        102       31        213       940.23    1         
6         0         2         2         19        103       31        210       830.71    1         
6         0         2         2         20        104       31        202       639.00    1         
6         0         2         2         21        105       31        197       547.74    1         
